epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.7351,2.8809,5.97455,2.47751,0.0003,0.04545,0.00016,7e-05,2.40721,6.07215,2.72855,0.0001,0.0001,0.0001
2,94.944,2.24063,4.16997,1.87814,0.26107,0.13636,0.09271,0.04734,2.25759,5.04897,1.55106,0.000217822,0.000217822,0.000217822
3,103.416,1.86936,2.37566,1.46584,0.01223,0.36364,0.0101,0.00364,2.12344,inf,1.78924,0.000333268,0.000333268,0.000333268
4,110.13,1.87445,2.00683,1.46341,0.00069,0.09091,0.00034,0.00018,nan,nan,nan,0.000446338,0.000446338,0.000446338
5,118.547,1.85844,1.76815,1.47508,0,0,0,0,nan,nan,nan,0.000557032,0.000557032,0.000557032
6,125.685,1.79781,1.47069,1.44289,0,0,0,0,nan,nan,nan,0.00066535,0.00066535,0.00066535
7,132.172,1.79304,1.56475,1.48702,0.00084,0.09091,0.00047,0.00025,3.12106,inf,16.9739,0.000771292,0.000771292,0.000771292
8,140.716,1.85902,2.10869,1.53767,0.00113,0.13636,0.00055,0.00029,2.6895,inf,8.42344,0.000874858,0.000874858,0.000874858
9,148.919,1.99531,2.23225,1.64679,0.00111,0.13636,0.00066,0.00015,nan,nan,nan,0.000976048,0.000976048,0.000976048
10,155.324,1.94323,1.84044,1.49305,0,0,0,0,nan,nan,nan,0.00107486,0.00107486,0.00107486
11,161.56,1.91507,2.03075,1.49209,0,0,0,0,4.83075,inf,268.578,0.0011713,0.0011713,0.0011713
12,168.821,1.922,1.74415,1.4491,0,0,0,0,nan,nan,nan,0.00126536,0.00126536,0.00126536
13,175.007,1.85582,1.96032,1.54281,0,0,0,0,nan,nan,nan,0.00135705,0.00135705,0.00135705
14,181.388,2.00762,1.57875,1.59452,0,0,0,0,nan,nan,nan,0.00144636,0.00144636,0.00144636
15,187.998,1.9178,1.57828,1.50103,0,0,0,0,nan,nan,nan,0.00153329,0.00153329,0.00153329
16,194.293,1.81496,1.43529,1.54678,0,0,0,0,nan,nan,nan,0.00161785,0.00161785,0.00161785
17,201.281,1.87569,1.42329,1.57443,0,0,0,0,3.33254,inf,287.833,0.0016832,0.0016832,0.0016832
18,207.466,1.80851,1.37398,1.61237,0,0,0,0,nan,nan,nan,0.0016634,0.0016634,0.0016634
19,214.267,1.71497,1.33849,1.47029,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,222.434,1.84677,1.21144,1.49498,0,0,0,0,nan,nan,nan,0.0016238,0.0016238,0.0016238
21,229.321,1.8522,1.35994,1.53336,0,0,0,0,nan,nan,nan,0.001604,0.001604,0.001604
22,237.554,1.73656,1.27038,1.45384,0,0,0,0,nan,nan,nan,0.0015842,0.0015842,0.0015842
23,244.454,1.85999,1.27465,1.50225,0,0,0,0,nan,nan,nan,0.0015644,0.0015644,0.0015644
24,252.89,1.77638,1.26833,1.49739,0.00064,0.09091,0.00038,0.00016,2.53571,inf,5.51208,0.0015446,0.0015446,0.0015446
25,261.921,1.79763,1.2522,1.45317,0.00254,0.13636,0.00094,0.00043,2.98978,301.46,2.34679,0.0015248,0.0015248,0.0015248
26,268.485,1.80016,1.19583,1.46956,0.0075,0.36364,0.00423,0.00209,2.02813,252.868,1.83043,0.001505,0.001505,0.001505
27,275.028,1.72145,1.2337,1.49003,0.52787,0.22727,0.2203,0.10847,2.00571,20.5846,1.79621,0.0014852,0.0014852,0.0014852
28,282.039,1.75173,1.23917,1.50574,0.04641,0.13636,0.00993,0.00354,3.01829,9.3043,2.48626,0.0014654,0.0014654,0.0014654
29,288.834,1.80351,1.19527,1.46609,0.13941,0.09091,0.02809,0.01004,2.43692,11.7798,2.16545,0.0014456,0.0014456,0.0014456
30,296.023,1.79768,1.1763,1.46781,0,0,0,0,3.15239,29.5152,5.12082,0.0014258,0.0014258,0.0014258
31,303.852,1.76444,1.11772,1.43013,0.00136,0.09091,0.00075,0.00037,3.41601,27.0041,5.70914,0.001406,0.001406,0.001406
32,310.366,1.712,1.07712,1.4201,0.59875,0.31818,0.29994,0.1473,1.79999,2.60257,1.70305,0.0013862,0.0013862,0.0013862
33,317.368,1.69671,1.05016,1.43706,0.46074,0.54545,0.41578,0.20774,1.71637,2.61887,1.5494,0.0013664,0.0013664,0.0013664
34,326.33,1.69446,1.04368,1.41404,0.72987,0.24711,0.29442,0.12239,2.08574,2.76082,1.52234,0.0013466,0.0013466,0.0013466
35,332.408,1.78849,1.07986,1.43837,0.68173,0.45455,0.50095,0.23973,1.91365,2.24042,1.57487,0.0013268,0.0013268,0.0013268
36,341.174,1.74265,1.10567,1.50719,0.71312,0.36364,0.37909,0.1585,2.20835,2.16334,1.89408,0.001307,0.001307,0.001307
37,347.294,1.73216,1.17317,1.43776,0.70638,0.54683,0.52753,0.25064,1.8651,1.48663,1.64559,0.0012872,0.0012872,0.0012872
38,354.088,1.68709,1.05151,1.40973,0.48349,0.18182,0.19232,0.0952,2.31245,3.96509,2.28177,0.0012674,0.0012674,0.0012674
39,360.529,1.72059,1.06005,1.362,0.66586,0.18182,0.22703,0.10635,2.01871,3.71206,1.615,0.0012476,0.0012476,0.0012476
40,367.089,1.72118,1.0339,1.42112,0.50372,0.5,0.43478,0.20092,1.98248,2.69444,1.5311,0.0012278,0.0012278,0.0012278
41,376.285,1.61701,1.09945,1.35961,0.45537,0.36364,0.32303,0.15558,2.117,3.33392,1.66675,0.001208,0.001208,0.001208
42,382.982,1.68014,1.11151,1.38496,0.89587,0.40909,0.52269,0.2484,1.92855,2.12775,1.51642,0.0011882,0.0011882,0.0011882
43,389.403,1.61686,0.96576,1.35968,0.74321,0.5,0.57704,0.27442,1.7277,2.44564,1.44981,0.0011684,0.0011684,0.0011684
44,396.787,1.69442,0.99927,1.42259,0.64091,0.27273,0.40039,0.21302,1.68851,2.63295,1.42888,0.0011486,0.0011486,0.0011486
45,405.255,1.67917,1.00364,1.39355,0.51093,0.31818,0.34803,0.19777,1.77186,3.37079,1.54218,0.0011288,0.0011288,0.0011288
46,412.174,1.6717,0.94235,1.33451,0.56378,0.64652,0.60464,0.30852,1.57714,1.81775,1.37267,0.001109,0.001109,0.001109
47,420.84,1.63613,0.94212,1.36174,0.80452,0.5619,0.64407,0.38152,1.62786,1.24996,1.39042,0.0010892,0.0010892,0.0010892
48,427.993,1.69348,1.01526,1.40625,0.6867,0.59807,0.5424,0.24943,1.89216,1.92056,1.53703,0.0010694,0.0010694,0.0010694
49,435.415,1.64486,0.96691,1.36374,0.56983,0.68182,0.48892,0.21387,1.78331,2.68766,1.51543,0.0010496,0.0010496,0.0010496
50,442.183,1.50532,0.91934,1.31232,0.62394,0.67886,0.60924,0.27513,1.66149,1.29009,1.5074,0.0010298,0.0010298,0.0010298
51,448.966,1.64948,0.93221,1.393,0.89877,0.54545,0.64858,0.3136,1.69632,1.09492,1.55355,0.00101,0.00101,0.00101
52,455.779,1.54936,0.95289,1.29135,0.70944,0.59091,0.50514,0.24592,1.7809,1.556,1.54719,0.0009902,0.0009902,0.0009902
53,462.095,1.60055,0.95161,1.32618,0.66537,0.59091,0.52085,0.24613,1.85214,1.34612,1.59826,0.0009704,0.0009704,0.0009704
54,468.764,1.58603,0.94441,1.31798,0.65124,0.45455,0.48005,0.24085,1.98269,1.76098,1.67552,0.0009506,0.0009506,0.0009506
55,477.601,1.6,0.92727,1.38262,0.72202,0.473,0.53777,0.27434,1.94145,1.75503,1.67969,0.0009308,0.0009308,0.0009308
56,484.195,1.56272,0.90299,1.31953,0.75129,0.54545,0.58915,0.26503,1.92771,1.32299,1.63071,0.000911,0.000911,0.000911
57,490.629,1.61712,0.94046,1.33355,0.75426,0.5,0.50902,0.26594,1.85309,1.18362,1.58615,0.0008912,0.0008912,0.0008912
58,497.088,1.56147,0.86462,1.32164,0.76035,0.54545,0.57084,0.27218,1.98221,1.1943,1.63604,0.0008714,0.0008714,0.0008714
59,504.005,1.55713,0.94499,1.30503,0.74357,0.5,0.5587,0.3044,1.8156,1.19636,1.50858,0.0008516,0.0008516,0.0008516
60,510.229,1.60274,0.92131,1.34254,0.79409,0.52665,0.61122,0.32059,1.63739,1.16981,1.40804,0.0008318,0.0008318,0.0008318
61,516.875,1.62513,0.91742,1.37596,0.63758,0.63636,0.64648,0.32838,1.68951,1.15614,1.42832,0.000812,0.000812,0.000812
62,522.915,1.54057,0.86763,1.3434,0.85806,0.63636,0.65983,0.29492,1.93558,1.0637,1.60561,0.0007922,0.0007922,0.0007922
63,529.15,1.65973,0.91682,1.39098,0.75447,0.63636,0.632,0.30504,1.77385,1.1059,1.50755,0.0007724,0.0007724,0.0007724
64,535.182,1.53111,0.86204,1.26631,0.81985,0.62121,0.63743,0.33599,1.5915,1.04078,1.39167,0.0007526,0.0007526,0.0007526
65,541.529,1.4822,0.8922,1.27225,0.74728,0.63636,0.64682,0.35025,1.62343,1.21351,1.38813,0.0007328,0.0007328,0.0007328
66,548.043,1.48491,0.8215,1.26072,0.69577,0.54545,0.56903,0.25206,1.9339,1.47071,1.55374,0.000713,0.000713,0.000713
67,554.315,1.48716,0.80828,1.26084,0.6586,0.54545,0.5772,0.26104,1.94974,1.34418,1.57437,0.0006932,0.0006932,0.0006932
68,561.206,1.50511,0.82587,1.25709,0.76289,0.5853,0.62257,0.34219,1.79484,1.05255,1.46954,0.0006734,0.0006734,0.0006734
69,567.157,1.5076,0.8236,1.26732,0.73318,0.59091,0.63234,0.33463,1.75667,1.0594,1.42868,0.0006536,0.0006536,0.0006536
70,573.918,1.48099,0.83493,1.24597,0.8064,0.63636,0.67079,0.30455,1.80894,1.08149,1.39668,0.0006338,0.0006338,0.0006338
71,579.924,1.53112,0.77054,1.24492,0.78743,0.63636,0.68296,0.3139,1.82074,1.24379,1.39062,0.000614,0.000614,0.000614
72,586.479,1.49643,0.83271,1.27091,0.8634,0.57533,0.67437,0.31326,1.88001,1.27247,1.43775,0.0005942,0.0005942,0.0005942
73,592.515,1.47493,0.79209,1.2721,0.92629,0.572,0.67968,0.31897,1.94467,1.18052,1.48514,0.0005744,0.0005744,0.0005744
74,598.785,1.54839,0.80625,1.29867,1,0.62091,0.69817,0.30981,2.07875,1.04753,1.62862,0.0005546,0.0005546,0.0005546
75,607.442,1.50861,0.81693,1.3107,0.99995,0.63636,0.6993,0.31601,1.97552,0.98132,1.58274,0.0005348,0.0005348,0.0005348
76,613.823,1.44379,0.79447,1.28474,0.87209,0.62051,0.68306,0.33876,1.69205,0.99612,1.42782,0.000515,0.000515,0.000515
77,620.287,1.51076,0.74451,1.29667,0.70436,0.68182,0.6681,0.31308,1.70588,1.05899,1.41393,0.0004952,0.0004952,0.0004952
78,626.575,1.43465,0.73056,1.27834,0.7578,0.63636,0.65045,0.27201,1.85393,1.31176,1.4679,0.0004754,0.0004754,0.0004754
79,633.272,1.43334,0.74246,1.23574,0.75766,0.72727,0.68536,0.31474,1.84394,1.24627,1.46688,0.0004556,0.0004556,0.0004556
80,639.358,1.45197,0.75909,1.25759,0.76013,0.72049,0.70709,0.35852,1.72506,1.13415,1.42388,0.0004358,0.0004358,0.0004358
81,645.95,1.49647,0.8319,1.31664,0.78727,0.67327,0.69375,0.35898,1.71111,1.21309,1.40807,0.000416,0.000416,0.000416
82,652.173,1.47575,0.78899,1.29083,0.76747,0.63636,0.68245,0.33791,1.7633,1.24595,1.44783,0.0003962,0.0003962,0.0003962
83,658.516,1.48873,0.76371,1.28679,0.6993,0.68182,0.67118,0.32324,1.78759,1.2,1.46746,0.0003764,0.0003764,0.0003764
84,664.66,1.35998,0.71585,1.23466,0.71292,0.67746,0.67388,0.33925,1.72872,1.11262,1.43424,0.0003566,0.0003566,0.0003566
85,671.112,1.49009,0.76856,1.28131,0.86463,0.58118,0.69215,0.35681,1.69841,1.0874,1.40022,0.0003368,0.0003368,0.0003368
86,677.801,1.41177,0.76943,1.2675,0.98031,0.59091,0.71198,0.36356,1.7145,1.04656,1.39259,0.000317,0.000317,0.000317
87,683.947,1.34596,0.71246,1.23432,0.95013,0.59091,0.71345,0.37063,1.72071,0.97227,1.40451,0.0002972,0.0002972,0.0002972
88,690.933,1.38069,0.73184,1.20398,0.94194,0.59091,0.7146,0.36393,1.75884,0.99257,1.41194,0.0002774,0.0002774,0.0002774
89,697.057,1.28276,0.67199,1.22585,0.73814,0.68182,0.71304,0.38156,1.71513,0.98796,1.3878,0.0002576,0.0002576,0.0002576
90,704.219,1.4471,0.74516,1.28893,0.9154,0.59091,0.71258,0.39292,1.62656,0.97948,1.34527,0.0002378,0.0002378,0.0002378
91,720.7,1.28155,0.69231,1.25061,0.76493,0.68182,0.71196,0.39423,1.62737,0.93985,1.35729,0.000218,0.000218,0.000218
92,729.985,1.3176,0.65264,1.24146,0.91848,0.59091,0.71009,0.38804,1.67256,0.88407,1.39045,0.0001982,0.0001982,0.0001982
93,737.031,1.27645,0.63301,1.18251,0.93225,0.62601,0.71092,0.38567,1.71463,0.88667,1.41193,0.0001784,0.0001784,0.0001784
94,743.394,1.21636,0.63678,1.15298,0.91908,0.59091,0.70703,0.3658,1.77934,0.91563,1.44274,0.0001586,0.0001586,0.0001586
95,749.872,1.22313,0.60503,1.19872,0.91305,0.59091,0.69822,0.36895,1.77606,0.91717,1.43789,0.0001388,0.0001388,0.0001388
96,756.575,1.20969,0.58593,1.16852,0.81919,0.63636,0.69723,0.36654,1.7396,0.91352,1.41134,0.000119,0.000119,0.000119
97,765.355,1.22606,0.60363,1.18045,0.81875,0.63636,0.70181,0.37465,1.71774,0.91627,1.40211,9.92e-05,9.92e-05,9.92e-05
98,771.772,1.13554,0.56426,1.15135,0.82,0.63636,0.70046,0.37363,1.71996,0.91965,1.39615,7.94e-05,7.94e-05,7.94e-05
99,778.467,1.25157,0.59355,1.23866,0.90675,0.59091,0.69615,0.3695,1.71554,0.90733,1.39368,5.96e-05,5.96e-05,5.96e-05
100,784.85,1.21851,0.57568,1.15217,0.90303,0.59091,0.69907,0.37882,1.71815,0.91538,1.40211,3.98e-05,3.98e-05,3.98e-05
